station,timestamp_utc,check_type,variable,original_value,action,rule
stanhope,2023-07-04T01:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-04T02:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-04T03:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-04T04:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-04T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-04T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-04T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-04T08:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-04T09:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-04T10:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-04T11:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-05T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-05T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-05T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-12T01:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-12T02:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-12T03:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-12T04:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-12T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-12T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-12T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-12T08:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-13T04:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-13T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-13T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-21T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-09-08T00:00:00+00:00,flatline,relative_humidity_pct,98.0,flag_only,FL_relative_humidity_pct
stanhope,2023-09-08T01:00:00+00:00,flatline,relative_humidity_pct,98.0,flag_only,FL_relative_humidity_pct
stanhope,2023-09-08T07:00:00+00:00,flatline,relative_humidity_pct,99.0,flag_only,FL_relative_humidity_pct
stanhope,2023-09-08T08:00:00+00:00,flatline,relative_humidity_pct,99.0,flag_only,FL_relative_humidity_pct
stanhope,2023-09-13T00:00:00+00:00,flatline,relative_humidity_pct,98.0,flag_only,FL_relative_humidity_pct
stanhope,2023-09-13T01:00:00+00:00,flatline,relative_humidity_pct,98.0,flag_only,FL_relative_humidity_pct
stanhope,2023-09-13T02:00:00+00:00,flatline,relative_humidity_pct,98.0,flag_only,FL_relative_humidity_pct
stanhope,2023-09-13T03:00:00+00:00,flatline,relative_humidity_pct,98.0,flag_only,FL_relative_humidity_pct
stanhope,2023-09-13T04:00:00+00:00,flatline,relative_humidity_pct,98.0,flag_only,FL_relative_humidity_pct
stanhope,2023-09-24T07:00:00+00:00,flatline,relative_humidity_pct,97.0,flag_only,FL_relative_humidity_pct
stanhope,2023-10-21T12:00:00+00:00,flatline,relative_humidity_pct,98.0,flag_only,FL_relative_humidity_pct
stanhope,2023-12-30T04:00:00+00:00,flatline,relative_humidity_pct,96.0,flag_only,FL_relative_humidity_pct
stanhope,2023-12-30T05:00:00+00:00,flatline,relative_humidity_pct,96.0,flag_only,FL_relative_humidity_pct
stanhope,2023-12-30T06:00:00+00:00,flatline,relative_humidity_pct,96.0,flag_only,FL_relative_humidity_pct
stanhope,2023-12-30T07:00:00+00:00,flatline,relative_humidity_pct,96.0,flag_only,FL_relative_humidity_pct
stanhope,2023-12-30T08:00:00+00:00,flatline,relative_humidity_pct,96.0,flag_only,FL_relative_humidity_pct
stanhope,2024-02-03T04:00:00+00:00,flatline,relative_humidity_pct,96.0,flag_only,FL_relative_humidity_pct
stanhope,2024-02-03T05:00:00+00:00,flatline,relative_humidity_pct,96.0,flag_only,FL_relative_humidity_pct
stanhope,2024-02-03T06:00:00+00:00,flatline,relative_humidity_pct,96.0,flag_only,FL_relative_humidity_pct
stanhope,2024-02-05T18:00:00+00:00,flatline,relative_humidity_pct,96.0,flag_only,FL_relative_humidity_pct
stanhope,2024-02-05T19:00:00+00:00,flatline,relative_humidity_pct,96.0,flag_only,FL_relative_humidity_pct
stanhope,2024-02-05T20:00:00+00:00,flatline,relative_humidity_pct,96.0,flag_only,FL_relative_humidity_pct
stanhope,2024-02-05T21:00:00+00:00,flatline,relative_humidity_pct,96.0,flag_only,FL_relative_humidity_pct
stanhope,2024-02-24T07:00:00+00:00,flatline,relative_humidity_pct,97.0,flag_only,FL_relative_humidity_pct
stanhope,2024-02-24T08:00:00+00:00,flatline,relative_humidity_pct,97.0,flag_only,FL_relative_humidity_pct
stanhope,2024-02-24T09:00:00+00:00,flatline,relative_humidity_pct,97.0,flag_only,FL_relative_humidity_pct
stanhope,2024-02-24T10:00:00+00:00,flatline,relative_humidity_pct,97.0,flag_only,FL_relative_humidity_pct
stanhope,2024-02-24T11:00:00+00:00,flatline,relative_humidity_pct,97.0,flag_only,FL_relative_humidity_pct
stanhope,2024-02-24T12:00:00+00:00,flatline,relative_humidity_pct,97.0,flag_only,FL_relative_humidity_pct
